graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,RAM type,CPU clock speed (GHz),CPU model,drive memory size (GB),warranty,screen size,buynow_price,bluetooth,wifi,widi,nfc,lan,gps,lte,wwan,keyboard,touchpad,numeric keyboard,illuminated keyboard,speakers,SD card reader,microphone,camera
1,1,2,4,2,3,1,1.9,5,0.00882825040128411,1,4,2129.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,1,5199.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,8,4,3,2,2.8,9,0.09309791332263243,1,4,7036.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,3,2,8,4,3,2,2.3,7,0.04494382022471911,1,4,2999.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,16,4,4,2,2.4,7,0.12279293739967898,1,3,4059.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
0,2,2,4,4,1,1,2.3,2,0.0971107544141252,1,5,1785.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,32,4,4,2,2.5,7,0.12279293739967898,1,4,8149.0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
1,3,4,16,4,3,2,2.5,7,0.09309791332263243,1,4,7074.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,2,16,1,4,0,2.7,9,0.12279293739967898,0,5,3299.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,1,2,8,4,3,0,2.4,5,0.009630818619582664,0,4,1769.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,12,0,3,2,2.0,5,0.02086677367576244,1,4,2499.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,1,2,12,0,1,2,2.5,7,0.0971107544141252,1,4,2499.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,7,3,8,4,3,2,1.8,9,0.048154093097913325,1,2,7599.0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1
0,3,2,8,4,3,2,2.7,9,0.02247191011235955,1,3,4199.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,3,2,20,0,3,2,2.5,7,0.02086677367576244,1,4,4120.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,1,2,8,0,3,0,2.6,7,0.02086677367576244,1,4,3197.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
1,3,4,8,0,3,2,2.8,9,0.046950240770465494,1,4,5283.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,16,4,4,2,2.6,9,0.1472712680577849,1,5,5099.0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1
1,1,2,4,0,3,0,2.6,7,0.04494382022471911,1,4,2469.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,2,4,4,1,2,2.0,5,0.0971107544141252,1,4,1890.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,4,4,3,0,1.6,1,0.02086677367576244,1,4,1599.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,0,3,2,2.6,9,0.02086677367576244,1,5,4289.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,3,2,16,4,4,2,2.5,7,0.19743178170144463,1,4,4709.0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1
1,3,2,8,4,4,1,2.5,9,0.10995184590690209,1,4,2999.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,4,2,2.8,9,0.14847512038523275,1,4,5299.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,4,2,1,0,2.4,7,0.021869983948635634,0,4,1299.0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
1,2,2,8,4,1,0,2.5,9,0.0971107544141252,0,5,2879.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,4,4,1,0,1.9,5,0.046950240770465494,0,2,1479.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,4,2,2.5,7,0.10995184590690209,1,4,7099.0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
1,3,2,4,0,1,2,2.4,5,0.0971107544141252,1,4,2299.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1
0,3,2,8,4,3,2,2.0,5,0.04494382022471911,1,4,3886.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,3,4,16,4,4,2,2.6,9,0.10914927768860352,1,4,4399.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,8,4,3,0,2.8,9,0.02247191011235955,1,3,8399.0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
1,3,4,4,0,3,2,2.6,9,0.04494382022471911,1,5,4099.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,8,4,1,2,2.7,9,0.0971107544141252,1,4,2799.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,2,2,16,2,3,0,2.1,2,0.09309791332263243,1,5,3799.01,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,2,8,4,1,0,1.7000000000000002,7,0.046950240770465494,1,4,1699.0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,4,2,2.5,7,0.12279293739967898,1,4,5649.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,8,4,1,0,2.2,7,0.046950240770465494,0,4,1679.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,4,4,3,2,2.4,5,0.009630818619582664,1,3,2649.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,2,12,4,3,2,2.5,7,0.021869983948635634,1,4,3499.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,4,8,4,3,0,1.9,6,0.02247191011235955,0,4,1689.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,2,2,12,4,3,0,2.3,7,0.04494382022471911,1,5,4614.0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
1,3,2,8,0,3,2,2.4,5,0.02247191011235955,1,4,2399.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,6,4,1,0,1.7000000000000002,7,0.046950240770465494,0,4,1709.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,4,4,1,0,1.7000000000000002,5,0.046950240770465494,0,2,1815.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,3,2,2.5,7,0.02247191011235955,1,4,5499.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1
0,1,2,4,4,0,2,1.1,1,0.0032102728731942215,1,3,1449.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
0,1,2,8,4,3,2,2.0,5,0.02086677367576244,1,4,2639.0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1
1,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,3,3949.0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,3,4,8,4,3,2,2.5,7,0.048154093097913325,1,4,4679.0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1
0,2,2,8,2,3,0,2.1,2,0.09309791332263243,1,5,3269.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,0,3,2,2.5,7,0.02086677367576244,1,4,2699.0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1
0,1,2,8,3,1,0,2.16,2,0.07203049759229534,0,4,1519.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,2,2,4,4,3,0,2.0,5,0.009630818619582664,0,5,2249.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,0,3,2,2.8,9,0.02086677367576244,1,4,4319.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,2,2,6,3,1,1,2.5,7,0.0971107544141252,1,5,1649.0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,4,0,2.6,9,0.12279293739967898,1,5,5199.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,2,8,4,3,2,2.7,9,0.009630818619582664,1,3,4828.25,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1,3,2,4,4,4,2,2.5,7,0.10995184590690209,1,3,4179.0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1
1,1,4,8,4,1,0,2.2,6,0.0971107544141252,1,4,1695.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,32,0,4,2,2.5,7,0.10995184590690209,1,4,7461.0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1
1,3,4,12,0,3,2,2.8,9,0.02086677367576244,1,4,5108.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,2,2,8,4,3,0,2.2,7,0.02247191011235955,0,3,3124.77,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,1,2,4,4,3,2,2.5,7,0.02247191011235955,1,3,4137.68,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1,1,2,16,4,3,2,2.5,7,0.009630818619582664,1,3,4599.0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1
1,3,4,4,0,3,2,2.8,9,0.02086677367576244,1,4,4499.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,12,4,3,2,2.5,7,0.02086677367576244,1,4,4016.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,3,4,8,0,1,2,2.8,9,0.0971107544141252,1,4,4939.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,3,3199.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
0,3,2,8,4,3,2,2.7,9,0.009630818619582664,1,3,6122.45,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,3,2,4,4,1,2,2.0,5,0.0971107544141252,1,4,2631.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,1,2,4,4,3,0,2.5,7,0.009630818619582664,0,4,1779.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,2,4,4,3,0,2.0,5,0.00882825040128411,1,4,1649.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,12,4,1,2,1.6,7,0.0971107544141252,1,4,3069.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,8,4,3,0,2.5,7,0.02247191011235955,0,4,1999.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,2,2,16,4,1,0,2.5,9,0.0971107544141252,0,5,2999.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,12,4,3,2,2.5,7,0.04494382022471911,1,4,3999.0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1
0,1,4,8,4,1,1,2.0,4,0.0971107544141252,0,4,1750.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,12,0,4,2,2.5,7,0.12279293739967898,1,4,3769.0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1
0,1,2,4,0,3,2,2.0,5,0.00882825040128411,1,4,1629.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,2,12,4,3,2,2.0,5,0.04494382022471911,1,4,3039.0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1
1,3,4,8,4,4,2,2.5,7,0.10995184590690209,1,4,3739.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,2,12,0,3,2,2.0,5,0.00882825040128411,1,4,2989.0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1
1,1,2,4,4,1,0,1.7000000000000002,5,0.046950240770465494,0,4,2083.67,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,4,8,4,1,1,2.0,4,0.046950240770465494,1,4,1463.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,32,4,1,2,2.8,9,0.0971107544141252,1,4,5799.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,8,4,1,2,2.5,7,0.0971107544141252,1,4,3149.0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
1,3,4,8,0,3,2,2.8,9,0.02086677367576244,1,4,3879.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,4,32,4,4,2,2.5,7,0.10995184590690209,1,4,4719.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,1,2,8,4,1,0,1.4,5,0.046950240770465494,0,2,1419.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,8,4,3,2,2.6,9,0.00882825040128411,1,5,5264.0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
1,1,2,8,4,3,0,1.8,9,0.009630818619582664,0,4,2116.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,0,4,2,2.6,9,0.12219101123595505,1,5,4049.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,3,2,8,4,3,2,2.4,5,0.02086677367576244,1,4,2549.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,4,1,2,2.5,7,0.0971107544141252,1,4,6749.0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
1,3,4,8,0,3,2,2.5,7,0.02086677367576244,1,4,3899.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
1,2,2,8,4,3,2,2.5,7,0.02086677367576244,1,5,3469.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,0,4,2,2.6,9,0.10995184590690209,1,4,3449.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,4,4,3,1,0,1.8,4,0.0971107544141252,1,4,2149.0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,4,3,2,2.8,9,0.02086677367576244,1,4,6738.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,3,2,20,4,4,2,2.5,7,0.12118780096308186,1,4,3749.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,4,4,3,2,2.5,7,0.00882825040128411,1,4,3223.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,3,4,32,4,3,2,2.6,9,0.09309791332263243,1,5,5899.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,32,4,4,2,2.7,9,0.24558587479935795,1,5,5499.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,4,4,2,2.6,9,0.17295345104333867,1,5,4049.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,3,2,8,4,2,1,2.3,7,0.046950240770465494,1,2,2449.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,2,8,4,4,1,2.5,9,0.10995184590690209,1,4,2699.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,3,8,4,4,2,2.3,7,0.10995184590690209,1,5,4199.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1
0,1,2,8,0,3,0,2.6,7,0.04494382022471911,1,4,2539.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
1,3,4,32,4,4,2,2.6,9,0.10914927768860352,1,4,5099.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,8,4,4,0,2.6,9,0.10995184590690209,1,5,3199.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,3,2,2.8,9,0.09309791332263243,1,4,7449.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
1,3,4,8,4,1,2,2.5,7,0.0971107544141252,1,4,3499.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,4,0,1,2,2.4,5,0.0971107544141252,1,4,2149.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,4,2,2.8,9,0.2231139646869984,1,4,5979.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
1,3,4,32,4,3,2,2.8,9,0.02086677367576244,1,4,5259.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,1,2,4,4,3,2,2.0,5,0.02086677367576244,1,4,2489.0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1
1,3,4,8,4,3,2,2.6,9,0.046950240770465494,1,4,4399.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,32,4,1,2,2.8,9,0.0971107544141252,1,4,6774.0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1
0,1,2,8,4,3,0,2.4,5,0.02247191011235955,0,4,1869.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,4,3,1,2.5,9,0.009630818619582664,1,4,3199.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,2,12,4,4,2,2.5,7,0.14847512038523275,1,4,3699.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,3,3789.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
1,3,2,4,4,3,2,2.5,7,0.02086677367576244,1,4,3771.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
0,3,2,8,4,4,2,2.5,7,0.02247191011235955,1,4,2999.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,2,4,4,1,0,2.2,7,0.046950240770465494,0,4,1819.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,4,2,2.5,7,0.12279293739967898,1,4,3999.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,3,2,4,0,4,2,2.4,5,0.12118780096308186,1,4,2529.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,4,2,2.8,9,0.14847512038523275,1,4,5039.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,3,2,8,4,4,2,2.5,7,0.10914927768860352,1,4,3369.0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1
0,1,4,4,4,1,1,2.0,4,0.046950240770465494,1,4,1298.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,4,4,4,3,0,2.0,6,0.009630818619582664,0,4,1879.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,4,3,2,2.7,9,0.02247191011235955,1,3,3999.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,2,4,4,1,0,1.7000000000000002,5,0.0971107544141252,0,4,1349.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,2,2,8,4,3,2,2.5,7,0.04494382022471911,1,5,3279.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
0,3,2,8,0,3,2,2.5,7,0.02247191011235955,1,4,2499.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,4,4,3,1,2.3,5,0.009630818619582664,1,3,1985.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,2,4,4,1,0,2.0,5,0.046950240770465494,0,4,1814.2,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,4,3,2,2.3,7,0.02247191011235955,0,4,3200.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,4,4,3,0,1.6,1,0.02086677367576244,1,4,1599.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,2,8,4,3,0,2.2,7,0.009630818619582664,0,4,2179.37,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,3,2,4,4,1,1,1.7000000000000002,7,0.046950240770465494,0,4,2250.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,0,3,2,2.6,9,0.00882825040128411,1,5,4129.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,7,4,8,0,1,2,2.8,9,0.0971107544141252,1,4,7374.0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1
0,3,2,8,4,3,2,2.7,9,0.02247191011235955,1,2,4499.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1
1,3,2,8,4,3,2,2.7,9,0.02247191011235955,1,4,4049.0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1
1,2,2,8,2,1,0,2.3,7,0.0971107544141252,1,5,2769.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,8,0,3,2,2.0,5,0.02086677367576244,1,4,2099.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,8,4,3,2,2.4,5,0.02247191011235955,1,3,3049.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
1,3,4,16,4,4,2,2.8,9,0.2231139646869984,1,4,4949.0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1
0,3,2,12,4,3,2,2.0,5,0.04494382022471911,1,4,2869.0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1
1,7,4,16,4,4,2,2.8,9,0.10995184590690209,1,4,6579.0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
0,3,2,4,0,1,2,2.4,5,0.0971107544141252,1,4,2049.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,4,2,2.8,9,0.12279293739967898,1,4,4709.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,4,16,0,3,2,2.5,7,0.02086677367576244,1,4,3749.0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1
1,3,3,8,4,4,2,2.5,7,0.10995184590690209,1,4,4949.0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1
0,1,2,4,4,3,0,1.6,1,0.009630818619582664,1,4,1549.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,12,4,1,2,2.5,7,0.0971107544141252,1,4,3299.0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1
1,3,4,32,4,3,2,2.8,9,0.04494382022471911,1,4,5519.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,2,16,4,1,0,2.5,7,0.0971107544141252,0,4,2660.11,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,4,2,2.6,9,0.10995184590690209,1,5,3199.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,12,4,1,2,2.5,7,0.0971107544141252,1,4,3499.0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1
1,7,4,32,0,1,2,2.8,9,0.0971107544141252,1,4,8286.0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
1,3,4,16,4,3,2,2.3,7,0.09309791332263243,1,5,6083.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
1,3,3,8,4,1,2,2.8,9,0.0971107544141252,1,4,3997.0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1
1,1,2,8,4,1,0,2.5,9,0.0971107544141252,1,4,2999.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,8,0,1,2,2.8,9,0.0971107544141252,1,4,3469.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,4,8,4,3,1,2.6,9,0.00882825040128411,1,4,3329.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,16,4,1,0,2.2,7,0.0971107544141252,1,4,3099.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,3,2,2.3,7,0.09309791332263243,1,5,5745.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,2,8,4,3,2,2.5,9,0.02247191011235955,1,4,2899.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,0,1,2,2.6,9,0.0971107544141252,1,5,3699.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,8,3,1,1,1.7000000000000002,7,0.0971107544141252,1,4,2250.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,12,4,3,2,2.8,9,0.04494382022471911,1,4,4629.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,4,16,4,3,2,2.8,9,0.009630818619582664,1,4,4429.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,12,0,3,2,2.5,7,0.04494382022471911,1,4,3399.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,1,2,8,4,1,0,2.6,7,0.0971107544141252,0,4,2296.99,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,32,4,3,2,2.5,7,0.02086677367576244,1,4,4379.0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1
0,3,2,8,4,1,0,2.0,5,0.0971107544141252,0,4,1725.22,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,4,4,4,3,2,2.4,8,0.009630818619582664,0,4,1799.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,32,0,4,2,2.8,9,0.12219101123595505,1,4,5499.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,4,4,3,1,2.2,7,0.02086677367576244,1,4,3009.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,4,4,3,0,2.6,7,0.009630818619582664,1,4,2719.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,5,2,16,4,3,2,2.7,9,0.0971107544141252,1,3,11072.71,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,7,4,16,0,4,2,2.8,9,0.14847512038523275,1,4,8349.0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1
1,3,4,8,4,4,2,2.8,9,0.12279293739967898,1,4,4459.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,2,2,8,4,1,2,2.5,7,0.0971107544141252,1,5,2739.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,3,3,8,4,4,2,2.5,7,0.10995184590690209,1,4,5499.0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1
1,3,2,8,4,4,0,2.4,9,0.10995184590690209,1,4,2955.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,1,2,12,2,3,1,1.9,5,0.00882825040128411,1,4,2428.99,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,2,8,2,3,1,1.9,5,0.09309791332263243,1,4,3319.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,16,4,3,2,2.5,7,0.048154093097913325,1,3,5579.0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
1,7,4,16,0,3,2,2.8,9,0.09309791332263243,1,4,8824.0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1
1,3,4,16,4,4,2,2.5,7,0.10995184590690209,1,4,4539.0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1
0,1,2,8,4,3,0,2.6,7,0.00882825040128411,1,4,2499.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,4,8,4,3,2,1.6,7,0.02247191011235955,1,2,4279.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1
